child_id,mother_id,race_code,sex_code,birth_month,birth_year,birth_order,mother_age_at_birth,highest_grade_category,highest_degree_code,has_ged,has_hs_diploma,has_associates,has_ba,has_bs,has_masters,has_phd,has_professional_degree,snap_1994,snap_1996,snap_1998,snap_2000,snap_2002,snap_2004,snap_2006,snap_2008,snap_2010,snap_2012,snap_2014,snap_2016,snap_2018,tanf_afdc_1994,tanf_afdc_1996,tanf_afdc_1998,tanf_afdc_2000,tanf_afdc_2002,tanf_afdc_2004,tanf_afdc_2006,tanf_afdc_2008,tanf_afdc_2010,tanf_afdc_2012,tanf_afdc_2014,tanf_afdc_2016,tanf_afdc_2018,mother_educ_1979,mother_educ_1994,mother_educ_2006,mother_educ_2006_revised,mother_educ_2008,mother_educ_2012,father_in_hh_1994,father_in_hh_1996,father_in_hh_1998,father_in_hh_2000,father_in_hh_2002,father_in_hh_2004,father_in_hh_2006,race,sex,female,valid_snap_waves,valid_tanf_afdc_waves,snap_wave_count,tanf_afdc_wave_count,any_snap,any_tanf_afdc,exposure_group,hs_or_more_from_grade,associate_or_more_from_grade,bachelors_or_more_from_grade,hs_or_more_from_degree,associate_or_more_from_degree,bachelors_or_more_from_degree,mother_educ_latest,mother_educ_baseline_1979,valid_father_hh_waves,father_in_hh_wave_count,father_in_hh_any,region,urban_rural,ppvt_avg,math_avg,ppvt_earliest,math_earliest,ever_worked,avg_earn_per_wk,avg_work_freq
201,2,3,2.0,3.0,1993,1,34.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,9.0,12.0,12.0,12.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,1,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,13.0,9.0,7,7,1.0,Northeast,Urban,58.0,31.75,30.0,10.0,1.0,1000.0,1.0
202,2,3,2.0,11.0,1994,2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,12.0,12.0,13.0,13.0,,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,13.0,9.0,6,6,1.0,,,56.0,29.0,56.0,13.0,,,
301,3,3,2.0,6.0,1981,1,19.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,10.0,13.0,13.0,12.0,12.0,12.0,1.0,1.0,1.0,,1.0,,,"Non-Black, Non-Hispanic",Female,1.0,7,2,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,12.0,10.0,4,4,1.0,West,Urban,82.0,44.333333333333336,50.0,27.0,,,
302,3,3,2.0,10.0,1983,2,22.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,10.0,13.0,13.0,12.0,12.0,12.0,1.0,1.0,1.0,,,,,"Non-Black, Non-Hispanic",Female,1.0,5,2,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,12.0,10.0,3,3,1.0,West,Urban,85.0,39.333333333333336,54.0,38.0,,,
303,3,3,2.0,4.0,1986,3,24.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,10.0,13.0,13.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,,,"Non-Black, Non-Hispanic",Female,1.0,5,5,1,0,1.0,0.0,SNAP only,1.0,0.0,0.0,1.0,0.0,0.0,12.0,10.0,5,5,1.0,West,Urban,90.66666666666667,27.0,61.0,15.0,,,
401,4,3,1.0,8.0,1980,1,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,9.0,,,,,,,0.0,0.0,,,,,"Non-Black, Non-Hispanic",Male,0.0,2,1,0,0,0.0,0.0,Neither,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2,0,0.0,West,Urban,104.5,38.5,97.0,35.0,,,
403,4,3,2.0,3.0,1997,2,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,1.0,,,,,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,9.0,9.0,1,1,1.0,,,,,,,,,
801,8,3,2.0,3.0,1976,1,17.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,12.0,12.0,14.0,14.0,14.0,14.0,,,,0.0,,,,"Non-Black, Non-Hispanic",Female,1.0,10,10,4,2,1.0,1.0,Both SNAP and TANF/AFDC,1.0,1.0,0.0,1.0,1.0,0.0,14.0,12.0,1,0,0.0,Northeast,Urban,129.5,53.5,110.0,48.0,,,
802,8,3,1.0,5.0,1979,2,20.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,12.0,12.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,,,,1.0,"Non-Black, Non-Hispanic",Male,0.0,10,9,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,4,1,1.0,Northeast,Urban,110.5,47.5,111.0,41.0,,,
803,8,3,2.0,9.0,1982,3,24.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,,12.0,12.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,8,7,0,1,0.0,1.0,TANF/AFDC only,1.0,1.0,0.0,1.0,1.0,0.0,14.0,12.0,7,1,1.0,Northeast,Urban,73.0,41.2,105.0,16.0,,,
