variable,label,r_all,r_snap,r_nonsnap,diff
mother_educ,Mother's education (grades),0.317,0.278,0.326,-0.048
math_avg,Avg math score,0.303,0.255,0.291,-0.036
ppvt_avg,Avg verbal score (PPVT),0.188,0.171,0.162,0.009
female,Female,0.179,0.219,0.241,-0.022
father_in_hh,Father in household (ever),0.134,0.048,0.138,-0.09
urban,Urban residence,0.057,0.055,0.075,-0.02
midwest,Midwest region,0.054,0.052,0.052,-0.0
northeast,Northeast region,0.042,-0.011,0.053,-0.064
mother_age,Mother's age at birth,0.026,0.029,0.073,-0.045
birth_year,Birth year,-0.009,0.006,0.038,-0.032
south,South region,-0.041,0.001,-0.047,0.048
west,West region,-0.044,-0.049,-0.047,-0.002
hispanic,Hispanic,-0.084,-0.102,-0.085,-0.017
black,Black,-0.101,0.059,-0.107,0.166
avg_work_freq,Work frequency (lower=more),-0.115,-0.042,-0.13,0.088
birth_order,Birth order,-0.177,-0.167,-0.134,-0.033
