variable,label,coef,ci_low,ci_high,p_value,group,n,r2
female,Female,0.8275648389872443,0.6054991245736537,1.049630553400835,2.790624253870903e-13,Non-SNAP,1168,0.33
black,Black,-0.23860683191516568,-0.5638758875586961,0.08666222372836474,0.15050045243788626,Non-SNAP,1168,0.33
hispanic,Hispanic,-0.14406676296666487,-0.5102221075931199,0.22208858165979012,0.44060997787948797,Non-SNAP,1168,0.33
birth_year,Birth year,-0.2957291321487014,-0.3547292220932655,-0.23672904220413724,8.872710678341492e-23,Non-SNAP,1168,0.33
birth_order,Birth order,-0.12023483169246274,-0.22364348832908848,-0.016826175055837014,0.02267418790657173,Non-SNAP,1168,0.33
mother_age,Mother's age at birth,0.08702857070031378,0.031045832773203066,0.1430113086274245,0.0023122753232573943,Non-SNAP,1168,0.33
mother_educ,Mother's education (grades),0.23119035213921896,0.17948724832097557,0.28289345595746235,1.884818861491915e-18,Non-SNAP,1168,0.33
father_in_hh,Father in household (ever),0.6570348453467071,0.26438007187816676,1.0496896188152474,0.0010394118985403255,Non-SNAP,1168,0.33
urban,Urban residence,0.1570142595056907,-0.14206264898151627,0.4560911679928977,0.3034920013564347,Non-SNAP,1168,0.33
northeast,Northeast region,117.32458598526645,94.08689227187278,140.56227969866012,4.347993366081162e-23,Non-SNAP,1168,0.33
south,South region,117.29779708164364,94.05940795821076,140.53618620507652,4.460465933989504e-23,Non-SNAP,1168,0.33
west,West region,117.01355670232553,93.8027027374307,140.22441066722035,5.0416744846084344e-23,Non-SNAP,1168,0.33
midwest,Midwest region,117.3291953349115,94.09794141150498,140.56044925831802,4.2139741868528024e-23,Non-SNAP,1168,0.33
ppvt_avg,Avg verbal score (PPVT),0.0024623560768063696,-0.0034430033850675833,0.008367715538680322,0.4137880695711257,Non-SNAP,1168,0.33
math_avg,Avg math score,0.05631400988497207,0.04058260508875198,0.07204541468119216,2.2811339104563346e-12,Non-SNAP,1168,0.33
avg_work_freq,Work frequency (lower=more),-0.03400146900804638,-0.11784979062496867,0.04984685260887591,0.42673672957928444,Non-SNAP,1168,0.33
female,Female,0.9405104928258822,0.5054720734827791,1.3755489121689852,2.2627379561064503e-05,SNAP,293,0.301
black,Black,0.14730029787753127,-0.487982239686537,0.7825828354415996,0.6495059577208147,SNAP,293,0.301
hispanic,Hispanic,0.16315884694830232,-0.5225944383128261,0.8489121322094307,0.6409812553918484,SNAP,293,0.301
birth_year,Birth year,-0.1804570652864662,-0.30857530692929186,-0.052338823643640564,0.005768683991490215,SNAP,293,0.301
birth_order,Birth order,-0.08281705465022446,-0.23599308156917964,0.07035897226873072,0.2892876131981478,SNAP,293,0.301
mother_age,Mother's age at birth,0.07819886514860315,-0.023016474877258192,0.1794142051744645,0.1299583600452683,SNAP,293,0.301
mother_educ,Mother's education (grades),0.21945989765735627,0.10562630609522475,0.33329348921948776,0.0001577020260432228,SNAP,293,0.301
father_in_hh,Father in household (ever),0.4230380599111481,-0.06563850808826444,0.9117146279105607,0.08975268488473571,SNAP,293,0.301
urban,Urban residence,-0.10434660789469968,-0.7045812977272208,0.49588808193782147,0.7333098277977516,SNAP,293,0.301
northeast,Northeast region,71.2384177016935,20.630545034004655,121.84629036938236,0.005798690609506272,SNAP,293,0.301
south,South region,71.11360138532724,20.552186463627685,121.6750163070268,0.005839691649450128,SNAP,293,0.301
west,West region,70.99437239023932,20.436588335521876,121.55215644495676,0.0059191780615679545,SNAP,293,0.301
midwest,Midwest region,70.81266778755798,20.28711876314935,121.33821681196662,0.006015549246903425,SNAP,293,0.301
ppvt_avg,Avg verbal score (PPVT),-0.012256499761600162,-0.024258628231151005,-0.0002543712920493185,0.04533819311965413,SNAP,293,0.301
math_avg,Avg math score,0.10142662652137738,0.07433493500905736,0.1285183180336974,2.1718592756176808e-13,SNAP,293,0.301
avg_work_freq,Work frequency (lower=more),-0.03339166533710806,-0.19153341405596205,0.12475008338174595,0.6789862850514553,SNAP,293,0.301
