group,term,label,coef,ci_low,ci_high,n
Non-SNAP,female,Female,1.1365609740608877,1.0146584623340624,1.258463485787713,5444
Non-SNAP,black,Black,-0.4382058597877562,-0.590877530120719,-0.2855341894547935,5444
Non-SNAP,hispanic,Hispanic,-0.17456844262609908,-0.33171094122319617,-0.017425944029001994,5444
Non-SNAP,birth_year,Birth year,-0.10798068369016652,-0.13505362861998566,-0.08090773876034738,5444
Non-SNAP,birth_order,Birth order,-0.21478828988812343,-0.27523976703071396,-0.15433681274553293,5444
Non-SNAP,mother_age,Mother's age at birth,0.0925775976415735,0.06278180191700614,0.12237339336614086,5444
Non-SNAP,mother_educ,Mother's education (grades),0.2918381256233308,0.2646451296051519,0.31903112164150965,5444
Non-SNAP,father_in_hh,Father in household (ever),0.5798791196360448,0.41614494265046015,0.7436132966216293,5444
SNAP,female,Female,0.9854315734357896,0.8266555113903801,1.144207635481199,2674
SNAP,black,Black,0.19650342263343007,0.004939551905664974,0.38806729336119516,2674
SNAP,hispanic,Hispanic,-0.18095109634947643,-0.41050633171044415,0.048604139011491326,2674
SNAP,birth_year,Birth year,-0.04341523735082537,-0.07897533226351494,-0.007855142438135808,2674
SNAP,birth_order,Birth order,-0.29076138426082354,-0.3624862967735,-0.21903647174814705,2674
SNAP,mother_age,Mother's age at birth,0.07114777676726075,0.03241926271950013,0.10987629081502137,2674
SNAP,mother_educ,Mother's education (grades),0.2171259320558849,0.17913057253728293,0.2551212915744869,2674
SNAP,father_in_hh,Father in household (ever),0.25303189442013785,0.08573609329444765,0.42032769554582805,2674
